date,precipitation
2016-11-26,0.03
2016-11-26,0.06
2016-11-26,0.02
2016-11-26,0.05
2016-11-27,0.0
2016-11-27,0.06
2016-11-27,0.17
2016-11-27,0.0
2016-11-27,0.29
2016-11-27,0.03
2016-11-28,0.0
2016-11-28,0.0
2016-11-28,0.01
2016-11-28,0.02
2016-11-28,
2016-11-28,0.69
2016-11-28,0.0
2016-11-29,0.04
2016-11-29,0.06
2016-11-29,0.04
2016-11-29,
2016-11-29,0.2
2016-11-29,0.09
2016-11-29,0.0
2016-11-30,0.0
2016-11-30,0.03
2016-11-30,0.05
2016-11-30,0.05
2016-11-30,
2016-11-30,0.14
2016-11-30,0.79
2016-12-01,0.12
2016-12-01,0.72
2016-12-01,0.33
2016-12-01,0.07
2016-12-01,
2016-12-01,0.37
2016-12-01,0.16
2016-12-02,0.01
2016-12-02,0.03
2016-12-02,0.3
2016-12-02,
2016-12-02,1.27
2016-12-02,0.4
2016-12-02,0.35
2016-12-03,0.02
2016-12-03,0.26
2016-12-03,1.62
2016-12-03,0.77
2016-12-03,0.0
2016-12-03,0.04
2016-12-04,0.04
2016-12-04,0.31
2016-12-04,0.0
2016-12-04,0.03
2016-12-04,0.32
2016-12-04,0.1
2016-12-05,0.22
2016-12-05,0.2
2016-12-05,
2016-12-05,0.43
2016-12-05,1.6
2016-12-05,0.45
2016-12-05,0.34
2016-12-06,0.02
2016-12-06,0.0
2016-12-06,0.0
2016-12-06,
2016-12-06,0.0
2016-12-06,0.02
2016-12-07,0.17
2016-12-07,
2016-12-07,0.02
2016-12-07,
2016-12-07,0.12
2016-12-07,0.07
2016-12-07,0.0
2016-12-08,0.27
2016-12-08,0.03
2016-12-08,0.07
2016-12-08,0.01
2016-12-08,0.03
2016-12-08,0.03
2016-12-08,0.02
2016-12-09,0.42
2016-12-09,0.34
2016-12-09,0.52
2016-12-09,
2016-12-09,0.26
2016-12-09,0.31
2016-12-10,0.04
2016-12-10,0.02
2016-12-10,0.02
2016-12-10,
2016-12-10,0.0
2016-12-10,0.05
2016-12-11,0.06
2016-12-11,0.0
2016-12-11,0.04
2016-12-11,0.13
2016-12-11,0.02
2016-12-12,0.0
2016-12-12,
2016-12-12,0.01
2016-12-12,0.01
2016-12-12,0.02
2016-12-12,0.01
2016-12-12,0.0
2016-12-13,0.1
2016-12-13,
2016-12-13,0.05
2016-12-13,0.04
2016-12-13,0.15
2016-12-13,0.09
2016-12-13,0.34
2016-12-14,0.12
2016-12-14,0.33
2016-12-14,0.92
2016-12-14,0.05
2016-12-14,
2016-12-14,0.03
2016-12-14,0.05
2016-12-15,
2016-12-15,0.14
2016-12-15,0.0
2016-12-15,0.07
2016-12-15,0.03
2016-12-15,0.0
2016-12-15,0.02
2016-12-16,0.01
2016-12-16,0.0
2016-12-16,
2016-12-16,0.03
2016-12-16,0.0
2016-12-16,0.0
2016-12-16,0.0
2016-12-17,0.01
2016-12-17,0.11
2016-12-17,0.07
2016-12-17,0.0
2016-12-17,0.16
2016-12-18,0.04
2016-12-18,0.13
2016-12-18,0.16
2016-12-18,0.29
2016-12-18,
2016-12-18,0.27
2016-12-19,0.0
2016-12-19,0.03
2016-12-19,0.02
2016-12-19,
2016-12-19,0.21
2016-12-19,0.15
2016-12-19,0.01
2016-12-20,0.0
2016-12-20,0.0
2016-12-20,0.0
2016-12-20,
2016-12-20,0.0
2016-12-20,0.02
2016-12-20,0.01
2016-12-21,0.06
2016-12-21,0.09
2016-12-21,0.03
2016-12-21,0.55
2016-12-21,0.0
2016-12-21,0.06
2016-12-21,0.11
2016-12-22,0.05
2016-12-22,
2016-12-22,0.17
2016-12-22,1.24
2016-12-22,0.14
2016-12-22,0.86
2016-12-22,0.01
2016-12-23,0.1
2016-12-23,0.24
2016-12-23,0.83
2016-12-23,
2016-12-23,0.02
2016-12-23,0.01
2016-12-23,0.03
2016-12-24,0.13
2016-12-24,0.14
2016-12-24,0.06
2016-12-24,0.01
2016-12-24,1.08
2016-12-24,0.2
2016-12-25,0.0
2016-12-25,0.0
2016-12-25,0.03
2016-12-25,0.38
2016-12-25,0.02
2016-12-26,0.02
2016-12-26,0.06
2016-12-26,0.22
2016-12-26,
2016-12-26,1.48
2016-12-26,0.26
2016-12-27,0.05
2016-12-27,0.0
2016-12-27,0.14
2016-12-27,0.02
2016-12-27,0.0
2016-12-27,0.03
2016-12-28,0.09
2016-12-28,0.02
2016-12-28,0.01
2016-12-28,0.09
2016-12-28,0.06
2016-12-28,0.14
2016-12-28,
2016-12-29,0.18
2016-12-29,0.05
2016-12-29,0.56
2016-12-29,0.52
2016-12-29,1.03
2016-12-29,0.04
2016-12-29,
2016-12-30,2.37
2016-12-30,0.12
2016-12-30,0.29
2016-12-30,
2016-12-30,0.07
2016-12-30,0.29
2016-12-30,0.21
2016-12-31,0.62
2016-12-31,0.36
2016-12-31,0.25
2016-12-31,0.9
2016-12-31,0.01
2017-01-01,0.29
2017-01-01,0.0
2017-01-01,0.03
2017-01-01,
2017-01-01,0.03
2017-01-01,0.0
2017-01-02,0.01
2017-01-02,0.0
2017-01-02,0.01
2017-01-02,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-03,0.0
2017-01-03,0.0
2017-01-03,0.0
2017-01-03,
2017-01-03,0.0
2017-01-04,0.0
2017-01-04,0.0
2017-01-04,0.0
2017-01-04,0.0
2017-01-04,0.18
2017-01-04,0.0
2017-01-05,0.47
